0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:19:06 +0900] "GET /0112_bootstrap/ex1.html HTTP/1.1" 200 3136
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:20:16 +0900] "GET /0112_bootstrap/ex1.html HTTP/1.1" 200 3266
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:40:04 +0900] "GET /0112_bootstrap/ex2_bootstrap.html HTTP/1.1" 200 2093
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:40:04 +0900] "GET /0112_bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:40:04 +0900] "GET /0112_bootstrap/css/dataTables.bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:40:59 +0900] "GET /0112_bootstrap/css/bootstrap.css.map HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:41:00 +0900] "GET /0112_bootstrap/ex2_bootstrap.html HTTP/1.1" 200 2094
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:41:00 +0900] "GET /0112_bootstrap/css/bootstrap.css.map HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:42:10 +0900] "GET /0112_bootstrap/ex2_bootstrap.html HTTP/1.1" 200 2131
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:42:10 +0900] "GET /0112_bootstrap/css/bootstrap.css.map HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:47:40 +0900] "GET /0112_bootstrap/ex2_bootstrap.html HTTP/1.1" 200 2339
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:47:40 +0900] "GET /0112_bootstrap/css/bootstrap.css.map HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:49:15 +0900] "GET /0112_bootstrap/ex2_bootstrap.html HTTP/1.1" 200 2355
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:49:16 +0900] "GET /0112_bootstrap/css/bootstrap.css.map HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:49:38 +0900] "GET /0112_bootstrap/ex2_bootstrap.html HTTP/1.1" 200 2375
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:49:38 +0900] "GET /0112_bootstrap/css/dataTables.bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:49:38 +0900] "GET /0112_bootstrap/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:49:38 +0900] "GET /0112_bootstrap/css/bootstrap.css.map HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:52:33 +0900] "GET /0112_bootstrap/ex2_bootstrap.html HTTP/1.1" 200 2409
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:52:33 +0900] "GET /0112_bootstrap/css/bootstrap.css.map HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:54:43 +0900] "GET /0112_bootstrap/ex2_bootstrap.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:54:43 +0900] "GET /0112_bootstrap/css/bootstrap.css.map HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:55:39 +0900] "GET /0112_bootstrap/ex2_bootstrap.html HTTP/1.1" 200 2508
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:55:39 +0900] "GET /0112_bootstrap/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:55:39 +0900] "GET /0112_bootstrap/css/bootstrap.css.map HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:55:39 +0900] "GET /0112_bootstrap/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:55:39 +0900] "GET /0112_bootstrap/fonts/fontawesome-webfont.woff?v=4.6.3 HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:55:39 +0900] "GET /0112_bootstrap/fonts/fontawesome-webfont.ttf?v=4.6.3 HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:56:11 +0900] "GET /0112_bootstrap/ex2_bootstrap.html HTTP/1.1" 200 2507
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:56:11 +0900] "GET /0112_bootstrap/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jan/2017:11:56:11 +0900] "GET /0112_bootstrap/css/bootstrap.css.map HTTP/1.1" 404 1058
